"Division","Subject","Section","Type","Instructor","Capacity","Actual Registered","Registered","Seat Available","Room/Time","Final"
"HLD","ICHL122 Chinese II for Hospitality and Tourism Industry 4(4-0-8)","02","joint","Prateep WONGVERAYUT","17","2","2","-1","5209 (Mon 10:00 - 11:50)                 5209 (Wed 10:00 - 11:50)","Tue 04-04-2017 10:00 - 11:50 [Room-TBA]"
"BBA","ICBE444 Industrial Organization 4(4-0-8)","02","master","Isabel Pereira RODRIGUES","40","39","39","1","1304 (Mon 14:00 - 15:50)                 1304 (Wed 14:00 - 15:50)","Mon 03-04-2017 14:00 - 15:50 [Room-TBA]"
"THM","ICTM370 Technology for Tourism Industry 4(4-0-8)","02","master","Laddawan JIANVITTAYAKIT","30","1","13","17","1404 (Tue 16:00 - 17:50)                 1512 (Thu 16:00 - 17:50)","Mon 03-04-2017 16:00 - 17:50 [Room-TBA]"
"HLD","ICHL165 German V for Hospitality and Tourism Industry 4(4-0-8)","02","joint","Thomas KREY","20","9","9","-1","5209 (Mon 16:00 - 17:50)                 5209 (Wed 16:00 - 17:50)","Tue 04-04-2017 14:00 - 15:50 [Room-TBA]"
"HLD","ICML122 Elementary  French  II 4(4-0-8)","02","master","Adrien Peigne","20","10","14","6","5211 (Mon 16:00 - 17:50)                 5211 (Wed 16:00 - 17:50)","Tue 04-04-2017 10:00 - 11:50 [Room-TBA]"
"HLD","ICML133 Elementary Chinese III 4(4-0-8)","02","master","Prateep WONGVERAYUT","14","10","13","1","3421 (Mon 14:00 - 15:50)                 3421 (Wed 14:00 - 15:50)","Tue 04-04-2017 12:00 - 13:50 [Room-TBA]"
"THM","ICTM270 Consumer Behavior in Tourism 4(4-0-8)","02","master","Gary WADDELL","35","0","8","27","1305 (Tue 08:00 - 09:50)                 1513 (Thu 08:00 - 09:50)","Wed 05-04-2017 18:00 - 19:50 [Room-TBA]"
"BBA","ICMB231 Business Communication 4(4-0-8)","02","master","Xiaoxia WEI","40","36","39","1","1315 (Tue 10:00 - 11:50)                 1315 (Thu 10:00 - 11:50)","Fri 07-04-2017 18:00 - 19:50 [1417 - Lecture Room]"
"HLD","ICLF212 Pre-Intermediate French II 4(4-0-8)","02","master","Adrien Peigne","20","5","8","12","5211 (Mon 14:00 - 15:50)                 5211 (Wed 14:00 - 15:50)","[Room-TBA]"
"FAA","ICMC204 Research Methods and Basic Statistics in Communication and Cultural Studies 4(4-0-8)","02","master","Jerimiah F. Morris","30","13","13","17","E3213 (Thu 08:00 - 12:00)","Thu 06-04-2017 10:00 - 12:00 [E3213 - Lecture Room]"
"BBA","ICMI352 Legal Issues in International Business 4(4-0-8)","02","master","Tan Weng Chiang David","40","37","37","3","3302 (Sat 12:00 - 13:50)                 3302 (Sat 14:00 - 15:50)","Fri 07-04-2017 10:00 - 11:50 [1419 - 1419]"
"HLD","ICML132 Elementary Chinese II 4(4-0-8)","02","master","Prateep WONGVERAYUT","17","16","18","-1","5209 (Mon 10:00 - 11:50)                 5209 (Wed 10:00 - 11:50)","Tue 04-04-2017 10:00 - 11:50 [Room-TBA]"
"BBA","ICMI456 Export-Import Management 4(4-0-8)","02","master","Nuntana UDOMKIT","40","38","38","2","1503 (Tue 10:00 - 11:50)                 1503 (Thu 10:00 - 11:50)","[Room-TBA]"
"BBA","ICMB431 Strategic Management 4(4-0-8)","02","master","Dissatat PRASERTSAKUL","40","39","39","1","1419 (Tue 14:00 - 15:50)                 1419 (Thu 14:00 - 15:50)","Sun 09-04-2017 12:00 - 13:50 [1419 - 1419]"
"HLD","ICHL182 Spanish II for Hospitality and Tourism Industry 4(4-0-8)","02","joint","Leire Alejaldre Biel","20","1","1","0","5207 (Mon 12:00 - 13:50)                 5207 (Wed 12:00 - 13:50)","Tue 04-04-2017 10:00 - 11:50 [1419 - 1419]"
"HLD","ICCM106 Intermediate English Communication III 4(4-0-8)","02","master","Anjana SUKUMARY","18","19","19","-1","5313 (Mon 08:00 - 09:50)                 5313 (Wed 08:00 - 09:50)","[Room-TBA]"
"HLD","ICPE101 Physical Education : Badminton 1(0-3-1)","02","master","Kittipong THONGPAE","30","26","26","4","(Tue 14:00 - 15:50)","[Room-TBA]"
"HLD","ICPE123 Physical Education: Cycling 1(0-3-1)","02","master","Laird ALLAN","15","9","11","4","(Wed 08:00 - 09:50)","[Room-TBA]"
"HLD","ICPE122 Selected Topics in Sports (Cycling) 1(0-3-1)","02","joint","Laird ALLAN","15","2","2","4","(Wed 08:00 - 09:50)","[Room-TBA]"
"SS","ICSS135 Introduction to Human Geography 4(4-0-8)","02","master","Pattaka SA-NGIMNET","40","39","39","1","1403 (Tue 10:00 - 11:50)                 1403 (Thu 10:00 - 11:50)","Wed 05-04-2017 09:00 - 11:50 [Room-TBA]"
"SS","ICSS139 Tourism Geography 4(4-0-8)","02","master","Pattaka SA-NGIMNET","40","38","38","2","1304 (Mon 10:00 - 11:50)                 1417 (Wed 10:00 - 11:50)","Fri 07-04-2017 09:00 - 11:50 [Room-TBA]"
"BBA","ICMK328 Marketing Channel Management 4(4-0-8)","02","master","Kandapa THANASUTA","40","41","41","-1","1305 (Mon 14:00 - 15:50)                 1406 (Wed 14:00 - 15:50)","Mon 03-04-2017 16:00 - 17:50 [Room-TBA]"
"SS","ICSS116 Introduction to Political  Science 4(4-0-8)","02","master","William Jones","40","25","25","15","1419 (Mon 14:00 - 15:50)                 1419 (Wed 14:00 - 15:50)","Fri 07-04-2017 08:00 - 09:50 [Room-TBA]"
"BBA","ICMF372 Financial Management 4(4-0-8)","02","master","Benjalux SAKUNASINGHA","40","29","36","4","1419 (Tue 10:00 - 11:50)                 1419 (Thu 10:00 - 11:50)","Wed 05-04-2017 12:00 - 13:50 [Room-TBA]"
"SCI","ICSC303 Statistics 4(4-0-8)","02","master","Taweeratana SIWADUNE","25","19","19","6","3315 (Tue 12:00 - 13:50)                 3315 (Thu 12:00 - 13:50)","Fri 07-04-2017 10:00 - 11:50 [1306 - Lecture Room]"
"THM","ICTM213 Finance for Travel Industry 4(4-0-8)","02","master","Chanin YOOPETCH","40","2","17","23","1405 (Wed 12:00 - 13:50)                 1405 (Wed 14:00 - 15:50)","Fri 07-04-2017 08:00 - 09:50 [Room-TBA]"
"HLD","ICPE107 Physical Education : Volleyball 1(0-3-1)","02","master","Roman CHIRASANTA","25","23","23","2","(Thu 14:00 - 15:50)","[Room-TBA]"
"SCI","ICNS102 Principles of Mathematics 4(4-0-8)","02","master","Chatchawan Panraksa","25","10","15","10","3303 (Tue 10:00 - 11:50)                 3303 (Fri 10:00 - 11:50)","Sat 08-04-2017 10:00 - 11:50 [Room-TBA]"
"HLD","ICML101 Elementary  German I 4(4-0-8)","02","master","Supapat  Singuntragorn","22","23","23","-1","5208 (Tue 16:00 - 17:50)                 5208 (Thu 16:00 - 17:50)","Tue 04-04-2017 08:00 - 09:50 [Room-TBA]"
"HLD","ICPE118 Physical Education : American Flag Football 1(0-3-1)","02","master","Roman CHIRASANTA","25","22","22","3","(Tue 16:00 - 17:50)","[Room-TBA]"
"BBA","ICBE448 Econometrics 4(4-0-8)","02","master","Saruta Benjanuvatra","40","38","38","2","1417 (Wed 14:00 - 15:50)                 1403 (Fri 14:00 - 15:50)","Wed 05-04-2017 18:00 - 19:50 [1315 - Lecture Room]"
"SCI","ICNS141 Computer Essentials 4(3-2-7)","02","master","Brian J. PHILLIPS","25","22","22","3","1406 (Mon 14:00 - 15:50)                 1512 (Fri 14:00 - 14:50)                 1512 (Fri 15:00 - 15:50)","Mon 03-04-2017 14:00 - 15:50 [1302 - Lecture Room]"
"HLD","ICCM202 Exploring Global Realities 4(4-0-8)","02","master","Nicholas John Richard FERRIMAN","20","20","20","0","5311 (Tue 08:00 - 09:50)                 5311 (Thu 08:00 - 09:50)","Mon 03-04-2017 14:00 - 15:50 [Room-TBA]"
"HLD","ICPE106 Physical Education : Tennis 1(0-3-1)","02","master","Oam To-aj","22","22","22","0","(Tue 16:00 - 17:50)","[Room-TBA]"
"THM","ICTM214 Economics of Tourism 4(4-0-8)","02","master","Veerisa CHOTIYAPUTTA","40","1","11","29","1305 (Sat 08:00 - 09:50)                 1305 (Sat 10:00 - 11:50)","[Room-TBA]"
"BBA","ICMB282 Computer Software Usage Skills 4(4-0-8)","02","master","Veera BHATIASEVI","40","37","38","2","1512 (Mon 16:00 - 17:50)                 1512 (Wed 16:00 - 17:50)","Sat 08-04-2017 15:00 - 18:00 [1513 - Computer Lab]"
"HLD","ICML102 Elementary German II 4(4-0-8)","02","master","Jan STEVENER","20","22","22","-2","5210 (Tue 14:00 - 15:50)                 5210 (Thu 14:00 - 15:50)","Tue 04-04-2017 10:00 - 11:50 [Room-TBA]"
"HLD","ICHL185 Spanish V for Hospitality and Tourism Industry 4(4-0-8)","03","joint","Leire Alejaldre Biel","20","12","12","0","5208 (Tue 12:00 - 13:50)                 5208 (Thu 12:00 - 13:50)","Tue 04-04-2017 14:00 - 15:50 [1419 - 1419]"
"BBA","ICMB221 Principles of Marketing 4(4-0-8)","03","master","Chompunuch PONGJIT","40","40","40","0","1407 (Tue 14:00 - 15:50)                 1407 (Thu 14:00 - 15:50)","Tue 04-04-2017 18:00 - 19:50 [1417 - Lecture Room]"
"HLD","ICHL182 Spanish II for Hospitality and Tourism Industry 4(4-0-8)","03","joint","Juan Carlos OLMOS ALCOY","20","1","1","1","5207 (Mon 14:00 - 15:50)                 5207 (Wed 14:00 - 15:50)","Tue 04-04-2017 10:00 - 11:50 [Room-TBA]"
"HLD","ICPE106 Physical Education : Tennis 1(0-3-1)","03","master","Oam To-aj","22","21","21","1","(Wed 16:00 - 17:50)","[Room-TBA]"
"SCI","ICNS100 Intensive Mathematics 0(4-0-0)","03","master","Pallop HUABSOMBOON","25","25","25","0","3304 (Mon 10:00 - 11:50)                 3304 (Wed 10:00 - 11:50)","Sat 08-04-2017 08:00 - 09:50 [1302 - Lecture Room]"
"BBA","ICMB204 Macroeconomics 4(4-0-8)","03","master","Rattakarn KOMONRAT","43","42","42","1","1404 (Tue 12:00 - 13:50)                 1404 (Thu 12:00 - 13:50)","Sat 08-04-2017 12:00 - 13:50 [1419 - 1419]"
"BBA","ICMB201 Macroeconomics 4(4-0-8)","03","joint","Rattakarn KOMONRAT","40","0","0","1","1404 (Tue 12:00 - 13:50)                 1404 (Thu 12:00 - 13:50)","Sat 08-04-2017 12:00 - 13:50 [1419 - 1419]"
"HLD","ICPE117 Physical Education : Mind and Body 1(0-3-1)","03","master","Sumon PANLEARTKITSAKUL","20","19","19","1","(Tue 12:00 - 13:50)","[Room-TBA]"
"HLD","ICCM104 Intermediate English Communication I 4(4-0-8)","03","master","Phillip STIENS","20","15","15","5","5307 (Mon 12:00 - 13:50)                 5307 (Wed 12:00 - 13:50)","Mon 03-04-2017 12:00 - 13:50 [Room-TBA]"
"HLD","ICPE115 Self Defense 1(0-3-1)","03","master","Chayanant HONGFA","20","18","18","2","(Tue 16:00 - 17:50)","[Room-TBA]"
"HLD","ICHL125 Chinese V for Hospitality and Tourism Industry 4(4-0-8)","03","joint","Puvisa QIUJUAN","20","4","4","3","5209 (Tue 08:00 - 09:50)                 5209 (Thu 08:00 - 09:50)","Tue 04-04-2017 12:00 - 13:50 [Room-TBA]"
"BBA","ICMB202 Microeconomics 4(4-0-8)","03","joint","Pandej CHINTRAKARN","40","1","1","0","1314 (Tue 12:00 - 13:50)                 1314 (Thu 12:00 - 13:50)","Mon 03-04-2017 18:00 - 19:50 [1314 - Lecture Room]"
"BBA","ICMB282 Computer Software Usage Skills 4(4-0-8)","03","master","Poramin BHEGANAN","40","40","40","0","1514 (Tue 08:00 - 09:50)                 1514 (Thu 08:00 - 09:50)","Sat 08-04-2017 15:00 - 18:00 [1514 - Computer Lab]"
"BBA","ICMB281 Computers in Management 4(4-0-8)","03","joint","Poramin BHEGANAN","40","0","0","0","1514 (Tue 08:00 - 09:50)                 1514 (Thu 08:00 - 09:50)","Sat 08-04-2017 15:00 - 18:00 [1514 - Computer Lab]"
"HLD","ICHE101 Health Education 2(2-0-4)","03","master","Vorodom VIRAVONG","40","39","39","1","3304 (Thu 12:00 - 13:50)","Sun 09-04-2017 10:00 - 11:50 [1503 - Lecture Room]"
"BBA","ICMB203 Microeconomics 4(4-0-8)","03","master","Pandej CHINTRAKARN","40","39","40","0","1314 (Tue 12:00 - 13:50)                 1314 (Thu 12:00 - 13:50)","Mon 03-04-2017 18:00 - 19:50 [1314 - Lecture Room]"
"BBA","ICMK424 Global Marketing Strategy 4(4-0-8)","03","master","Viriya Taecharungroj","40","36","36","4","1402 (Sat 12:00 - 13:50)                 1402 (Sat 14:00 - 15:50)","[Room-TBA]"
"BBA","ICBE447 Corporate Governance and Business Ethics 4(4-0-8)","03","joint","Roman MEINHOLD","40","0","0","0","2308 (Mon 16:00 - 17:50)                 2308 (Wed 16:00 - 17:50)","[Room-TBA]"
"BBA","ICMB432 Business Ethics 4(4-0-8)","03","master","Roman MEINHOLD","40","40","40","0","2308 (Mon 16:00 - 17:50)                 2308 (Wed 16:00 - 17:50)","[Room-TBA]"
"HLD","ICML112 Elementary Japanese II 4(4-0-8)","03","master","TBA","0","0","0","0","5210 (Tue 10:00 - 11:50)                 5210 (Thu 10:00 - 11:50)","Tue 04-04-2017 10:00 - 11:50 [Room-TBA]"
"SS","ICSS112 Introduction to Psychology 4(4-0-8)","03","master","Christin GROTHAUS","40","40","40","0","1315 (Tue 12:00 - 13:50)                 1315 (Thu 12:00 - 13:50)","Fri 07-04-2017 18:00 - 19:50 [Room-TBA]"
"BBA","ICMB371 Business Finance 4(4-0-8)","03","master","Sirithida CHAIVISUTTANGKUN","40","40","40","0","1502 (Tue 16:00 - 17:50)                 1502 (Thu 16:00 - 17:50)","Fri 07-04-2017 14:00 - 16:50 [Room-TBA]"
"BBA","ICMB431 Strategic Management 4(4-0-8)","03","master","Kangwan YODWISITSAK","40","33","33","7","1418 (Tue 10:00 - 11:50)                 1418 (Thu 10:00 - 11:50)","Sun 09-04-2017 12:00 - 13:50 [1417 - Lecture Room]"
"SCI","ICNS104 Fundamental Statistics 4(4-0-8)","03","master","Sanyapong  PETCHROMPO","25","25","25","0","3302 (Wed 14:00 - 15:50)                 3304 (Fri 14:00 - 15:50)","Sat 08-04-2017 12:00 - 13:50 [1315 - Lecture Room]"
"HLD","ICCM106 Intermediate English Communication III 4(4-0-8)","03","master","James WHITLAM","18","18","18","0","5311 (Mon 10:00 - 11:50)                 5311 (Wed 10:00 - 11:50)","[Room-TBA]"
"BBA","ICMB341 Business Law 4(4-0-8)","03","master","Alessandro STASI","40","39","39","1","1417 (Mon 12:00 - 13:50)                 1417 (Fri 12:00 - 13:50)","Wed 05-04-2017 10:00 - 11:50 [1417 - Lecture Room]"
"HLD","ICML160 Introduction to Thai Language and Culture 4(4-0-8)","03","master","Wimonsiri Hemtanon","20","18","18","2","3409 (Tue 10:00 - 11:50)                 3412 (Thu 10:00 - 11:50)","[Room-TBA]"
"HLD","ICLS212 Pre-intermediate Spanish II 4(4-0-8)","03","master","Leire Alejaldre Biel","20","8","20","0","5208 (Tue 12:00 - 13:50)                 5208 (Thu 12:00 - 13:50)","Tue 04-04-2017 14:00 - 15:50 [1419 - 1419]"
"BBA","ICMB492 Practical Business Training - Off Campus 12(0-36-12)","03","master","Nuntana UDOMKIT","21","21","21","0","","[Room-TBA]"
"BBA","ICMB211 Fundamental Financial Accounting 4(4-0-8)","03","master","Titawadee SUTTHIJAKRA","45","44","44","1","1417 (Tue 12:00 - 13:50)                 1417 (Thu 12:00 - 13:50)","Wed 05-04-2017 16:00 - 17:50 [1418 - 1418]"
"SCI","ICNS015 Refresher Mathematics (Non - Credits) 0(4-0-0)","03","master","Poramin BHEGANAN","25","6","6","19","3304 (Wed 08:00 - 09:50)                 3304 (Fri 08:00 - 09:50)","Sat 08-04-2017 10:00 - 11:50 [Room-TBA]"
"BBA","ICMB363 Management Science 4(4-0-8)","03","joint","Dolchai LA-ORNUAL","40","6","6","3","1513 (Mon 12:00 - 13:50)                 1513 (Wed 12:00 - 13:50)","Fri 07-04-2017 08:00 - 09:50 [1514 - Computer Lab]"
"BBA","ICMB365 Management Science 4(4-0-8)","03","master","Dolchai LA-ORNUAL","40","31","37","3","1513 (Mon 12:00 - 13:50)                 1513 (Wed 12:00 - 13:50)","Fri 07-04-2017 08:00 - 09:50 [1514 - Computer Lab]"
"SCI","ICNS103 Fundamental  Mathematics 4(4-0-8)","03","master","Elaine WONG","25","23","23","2","3304 (Tue 14:00 - 15:50)                 3304 (Thu 14:00 - 15:50)","Sat 08-04-2017 14:00 - 15:50 [Room-TBA]"
"HLD","ICPE101 Physical Education : Badminton 1(0-3-1)","03","master","Kittipong THONGPAE","30","28","28","2","(Thu 12:00 - 13:50)","[Room-TBA]"
"HLD","ICHL128 Chinese VIII for Hospitality and Tourism Industry 4(4-0-8)","03","joint","Zhang BO","20","1","1","8","5209 (Tue 14:00 - 15:50)                 5209 (Thu 14:00 - 15:50)","Tue 04-04-2017 14:00 - 15:50 [Room-TBA]"
"BBA","ICMB231 Business Communication 4(4-0-8)","03","master","Xiaoxia WEI","40","39","39","1","1418 (Wed 08:00 - 09:50)                 1418 (Fri 08:00 - 09:50)","Fri 07-04-2017 18:00 - 19:50 [1419 - 1419]"
"HLD","ICML142 Elementary Spanish II 4(4-0-8)","03","master","Juan Carlos OLMOS ALCOY","20","18","19","1","5207 (Mon 14:00 - 15:50)                 5207 (Wed 14:00 - 15:50)","Tue 04-04-2017 10:00 - 11:50 [Room-TBA]"
"BBA","ICMB351 International Business Management 4(4-0-8)","03","master","Supara KAPASUWAN","40","18","18","22","1503 (Mon 08:00 - 09:50)                 1503 (Wed 08:00 - 09:50)","Fri 07-04-2017 16:00 - 17:50 [1402 - 1402]"
"HLD","ICPE123 Physical Education: Cycling 1(0-3-1)","03","master","Laird ALLAN","15","14","15","0","(Fri 08:00 - 09:50)","[Room-TBA]"
"HLD","ICPE122 Selected Topics in Sports (Cycling) 1(0-3-1)","03","joint","Laird ALLAN","15","1","1","0","(Fri 08:00 - 09:50)","[Room-TBA]"
"HLD","ICML141 Elementary Spanish I 4(4-0-8)","03","master","Maria GUERRERO","20","18","18","2","5207 (Mon 16:00 - 17:50)                 5207 (Wed 16:00 - 17:50)","Tue 04-04-2017 08:00 - 09:50 [Room-TBA]"
"HLD","ICME100 English Resources Skills 0(4-0-0)","03","master","Phillip STIENS","20","16","16","4","5307 (Tue 08:00 - 09:50)                 5307 (Thu 08:00 - 09:50)","Mon 03-04-2017 08:00 - 09:50 [1304 - Lecture Room]"
"HLD","ICHM103 Introduction to Logic 4(4-0-8)","03","master","Elaine WONG","30","26","26","4","3422 (Tue 16:00 - 17:50)                 3422 (Thu 16:00 - 17:50)","Fri 07-04-2017 16:00 - 18:50 [Room-TBA]"
"BBA","ICMF375 Multinational Corporate Finance 4(4-0-8)","03","master","Aman SAGGU","40","40","40","0","1402 (Tue 16:00 - 17:50)                 1402 (Thu 16:00 - 17:50)","Mon 03-04-2017 08:00 - 09:50 [1315 - Lecture Room]"
"HLD","ICLC212 Pre-Intermediate Chinese II 4(4-0-8)","03","master","Puvisa QIUJUAN","20","13","17","3","5209 (Tue 08:00 - 09:50)                 5209 (Thu 08:00 - 09:50)","Tue 04-04-2017 12:00 - 13:50 [Room-TBA]"
"BBA","ICMB234 Management and Organizational Behavior 4(4-0-8)","03","master","Jesper DOPPING","40","36","36","4","2308 (Tue 16:00 - 17:50)                 2308 (Thu 16:00 - 17:50)","Wed 05-04-2017 13:00 - 15:50 [1514/1 - Computer Lab]"
"BBA","ICMI357 Business Communication 4(4-0-8)","03","joint","Xiaoxia WEI","40","0","0","1","1418 (Wed 08:00 - 09:50)                 1418 (Fri 08:00 - 09:50)","Fri 07-04-2017 18:00 - 19:50 [1419 - 1419]"
"HLD","ICHM107 Introduction to Asian Philosophy 4(4-0-8)","03","master","Pathompong BODHIPRASIDDHINAND","30","27","27","3","3421 (Fri 08:00 - 09:50)                 3421 (Fri 10:00 - 11:50)","Sun 09-04-2017 08:00 - 09:50 [1503 - Lecture Room]"
"BBA","ICMB212 Managerial Accounting 4(4-0-8)","03","master","Phassawan SUNTRARUK","40","40","40","0","1403 (Mon 12:00 - 13:50)                 1403 (Wed 12:00 - 13:50)","Sun 09-04-2017 09:00 - 11:30 [1417 - Lecture Room]"
"HLD","ICPE103 Physical Education : Golf 1(0-3-1)","03","master","Adichai NIRATTISAYANGKOOL","15","15","15","0","(Tue 12:00 - 13:50)","[Room-TBA]"
"HLD","ICCM105 Intermediate English Communication II 4(4-0-8)","03","master","Andrew FORSTER","20","21","21","-1","5310 (Mon 12:00 - 13:50)                 5310 (Wed 12:00 - 13:50)","Mon 03-04-2017 10:00 - 11:50 [1419 - 1419]"
"HLD","ICML132 Elementary Chinese II 4(4-0-8)","03","master","Prateep WONGVERAYUT","17","13","15","2","5207 (Tue 08:00 - 09:50)                 5207 (Thu 08:00 - 09:50)","Tue 04-04-2017 10:00 - 11:50 [Room-TBA]"
"HLD","ICHL122 Chinese II for Hospitality and Tourism Industry 4(4-0-8)","03","joint","Prateep WONGVERAYUT","17","2","2","2","5207 (Tue 08:00 - 09:50)                 5207 (Thu 08:00 - 09:50)","Tue 04-04-2017 10:00 - 11:50 [Room-TBA]"
"HLD","ICLC312 Intermediate Chinese II 4(4-0-8)","03","master","Zhang BO","20","11","12","8","5209 (Tue 14:00 - 15:50)                 5209 (Thu 14:00 - 15:50)","Tue 04-04-2017 14:00 - 15:50 [Room-TBA]"
"SS","ICSO401 Independent Study in the Social Sciences 4(4-0-8)","03","master","Ruchi AGARWAL","5","3","3","2","","[Room-TBA]"
"HLD","ICML131 Elementary  Chinese I 4(4-0-8)","03","master","Naputtsorn NETRCHAYA-ARNUNT","22","25","25","-3","3421 (Mon 08:00 - 09:50)                 3421 (Wed 08:00 - 09:50)","Tue 04-04-2017 08:00 - 09:50 [Room-TBA]"
"HLD","ICPE118 Physical Education : American Flag Football 1(0-3-1)","03","master","Roman CHIRASANTA","25","22","22","3","(Wed 16:00 - 17:50)","[Room-TBA]"
"SCI","ICSC302 Scientific Research and Presentations 4(4-0-8)","03","master","Pongskorn SAIPETCH","30","30","30","0","3303 (Sat 08:00 - 11:50)","Sat 08-04-2017 08:00 - 09:50 [3303 - Lecture Room]"
"HLD","ICPE105 Physical Education : Swimming 1(0-3-1)","03","master","Mahattana KANCHANAPAKORN","15","15","15","0","(Wed 16:00 - 17:50)","[Room-TBA]"
"HLD","ICPE101 Physical Education : Badminton 1(0-3-1)","04","master","Kittipong THONGPAE","30","30","30","0","(Thu 14:00 - 15:50)","[Room-TBA]"
"HLD","ICCM104 Intermediate English Communication I 4(4-0-8)","04","master","Analiza AMURAO","20","21","21","-1","5309 (Mon 12:00 - 13:50)                 5309 (Wed 12:00 - 13:50)","Mon 03-04-2017 12:00 - 13:50 [Room-TBA]"
"HLD","ICHL125 Chinese V for Hospitality and Tourism Industry 4(4-0-8)","04","joint","Puvisa QIUJUAN","20","6","6","-2","5209 (Tue 10:00 - 11:50)                 5209 (Thu 10:00 - 11:50)","Tue 04-04-2017 12:00 - 13:50 [Room-TBA]"
"HLD","ICML160 Introduction to Thai Language and Culture 4(4-0-8)","04","master","Wimonsiri Hemtanon","20","14","14","6","3409 (Tue 14:00 - 15:50)                 3412 (Thu 14:00 - 15:50)","[Room-TBA]"
"HLD","ICPE117 Physical Education : Mind and Body 1(0-3-1)","04","master","Sumon PANLEARTKITSAKUL","20","18","18","2","(Tue 14:00 - 15:50)","[Room-TBA]"
"HLD","ICPE115 Self Defense 1(0-3-1)","04","master","Somnuek TRAISUTTI","20","19","19","1","(Wed 14:00 - 15:50)","[Room-TBA]"
"HLD","ICCM105 Intermediate English Communication II 4(4-0-8)","04","master","Walter PERSAUD","20","20","20","0","5308 (Mon 12:00 - 13:50)                 5308 (Wed 12:00 - 13:50)","Mon 03-04-2017 10:00 - 11:50 [1502 - Lecture Room]"
"HLD","ICLC212 Pre-Intermediate Chinese II 4(4-0-8)","04","master","Puvisa QIUJUAN","20","16","22","-2","5209 (Tue 10:00 - 11:50)                 5209 (Thu 10:00 - 11:50)","Tue 04-04-2017 12:00 - 13:50 [Room-TBA]"
"BBA","ICMB282 Computer Software Usage Skills 4(4-0-8)","04","master","Poramin BHEGANAN","40","38","39","1","1514 (Tue 10:00 - 11:50)                 1514 (Thu 10:00 - 11:50)","Sat 08-04-2017 15:00 - 18:00 [1514/1 - Computer Lab]"
"BBA","ICMB281 Computers in Management 4(4-0-8)","04","joint","Poramin BHEGANAN","40","1","1","1","1514 (Tue 10:00 - 11:50)                 1514 (Thu 10:00 - 11:50)","Sat 08-04-2017 15:00 - 18:00 [1514/1 - Computer Lab]"
"SS","ICSS112 Introduction to Psychology 4(4-0-8)","04","master","Christin GROTHAUS","40","9","9","31","1315 (Tue 18:00 - 19:50)                 1315 (Thu 18:00 - 19:50)","Fri 07-04-2017 18:00 - 19:50 [1315 - Lecture Room]"
"SCI","ICNS015 Refresher Mathematics (Non - Credits) 0(4-0-0)","04","master","Pornrat Ruengrot","25","25","25","0","3306 (Mon 12:00 - 13:50)                 3306 (Wed 12:00 - 13:50)","Sat 08-04-2017 10:00 - 11:50 [Room-TBA]"
"HLD","ICML141 Elementary Spanish I 4(4-0-8)","04","master","Juan Carlos OLMOS ALCOY","20","24","24","-4","5212 (Tue 14:00 - 15:50)                 5212 (Thu 14:00 - 15:50)","Tue 04-04-2017 08:00 - 09:50 [1419 - 1419]"
"BBA","ICMB221 Principles of Marketing 4(4-0-8)","04","master","Apiradee WONGKITRUNGRUENG","40","40","40","0","1406 (Mon 08:00 - 09:50)                 1406 (Fri 08:00 - 09:50)","Tue 04-04-2017 18:00 - 19:50 [1403 - 1403]"
"BBA","ICMB211 Fundamental Financial Accounting 4(4-0-8)","04","master","Titawadee SUTTHIJAKRA","45","41","41","4","1417 (Tue 16:00 - 17:50)                 1417 (Thu 16:00 - 17:50)","Wed 05-04-2017 16:00 - 17:50 [1419 - 1419]"
"SCI","ICNS100 Intensive Mathematics 0(4-0-0)","04","master","Peter EMANUELE","25","21","21","4","3304 (Mon 08:00 - 09:50)                 3302 (Wed 08:00 - 09:50)","Sat 08-04-2017 08:00 - 09:50 [Room-TBA]"
"BBA","ICMB341 Business Law 4(4-0-8)","04","master","Arthit SATTHAVORASIT","40","40","40","0","1304 (Sat 08:00 - 09:50)                 1304 (Sat 10:00 - 11:50)","Wed 05-04-2017 10:00 - 11:50 [1402 - 1402]"
"BBA","ICMI357 Business Communication 4(4-0-8)","04","joint","Ron DALE","40","0","0","0","2303 (Tue 08:00 - 09:50)                 2303 (Thu 08:00 - 09:50)","Fri 07-04-2017 18:00 - 19:50 [1402 - 1402]"
"BBA","ICMB371 Business Finance 4(4-0-8)","04","master","Woraphon  WATTANATORN","40","29","29","11","1304 (Wed 08:00 - 09:50)                 1304 (Fri 08:00 - 09:50)","Fri 07-04-2017 14:00 - 16:50 [1302 - Lecture Room]"
"BBA","ICMB203 Microeconomics 4(4-0-8)","04","master","Varang Wiriyawit","40","16","16","24","1314 (Mon 08:00 - 09:50)                 1314 (Wed 08:00 - 09:50)","Mon 03-04-2017 18:00 - 19:50 [1302 - Lecture Room]"
"BBA","ICMB201 Macroeconomics 4(4-0-8)","04","joint","Rattakarn KOMONRAT","40","11","11","1","1404 (Mon 12:00 - 13:50)                 1404 (Wed 12:00 - 13:50)","Sat 08-04-2017 12:00 - 13:50 [1417 - Lecture Room]"
"BBA","ICMB202 Microeconomics 4(4-0-8)","04","joint","Varang Wiriyawit","40","0","0","24","1314 (Mon 08:00 - 09:50)                 1314 (Wed 08:00 - 09:50)","Mon 03-04-2017 18:00 - 19:50 [1302 - Lecture Room]"
