"Division","Subject","Section","Type","Instructor","Capacity","Actual Registered","Registered","Seat Available","Room/Time","Final"
"SS","ICSS112 Introduction to Psychology 4(4-0-8)","01","master","Vorodom VIRAVONG","40","32","32","8","1302 (Mon 16:00 - 17:50)                 1302 (Wed 16:00 - 17:50)","Fri 07-04-2017 18:00 - 19:50 [1302 - Lecture Room]"
"BBA","ICMF372 Financial Management 4(4-0-8)","01","master","Benjalux SAKUNASINGHA","40","15","16","24","1419 (Tue 08:00 - 09:50)                 1419 (Thu 08:00 - 09:50)","Wed 05-04-2017 12:00 - 13:50 [1315 - Lecture Room]"
"SS","ICSO348 Society,Politics and Economics in Contemporary Europe 4(4-0-8)","01","master","Deekana TIPCHANTA","40","21","21","19","3303 (Tue 14:00 - 15:50)                 3303 (Thu 14:00 - 15:50)","[Room-TBA]"
"SCI","ICEN415 Biodiversity 4(4-0-8)","01","master","Kulvadee KANSUNTISUKMONGKOL","20","4","4","16","1405 (Tue 14:00 - 15:50)                 3407 (Wed 14:00 - 15:50)","Wed 05-04-2017 14:00 - 15:50 [3407 - Dance room]"
"BBA","ICMB431 Strategic Management 4(4-0-8)","01","master","Dissatat PRASERTSAKUL","40","40","40","0","1419 (Tue 12:00 - 13:50)                 1419 (Thu 12:00 - 13:50)","Sun 09-04-2017 12:00 - 13:50 [1418 - 1418]"
"SCI","ICPY332 Mathematical Methods in Physics II 4(4-0-8)","01","master","Narin NUTTAVUT","25","5","5","20","3303 (Mon 08:00 - 09:50)                 3316 (Wed 08:00 - 09:50)","Wed 05-04-2017 08:00 - 09:50 [Room-TBA]"
"BBA","ICMI361 Global Leadership Development 4(4-0-8)","01","master","Chairawee ANAMTHAWAT-KIERIG","44","43","45","-1","2308 (Tue 08:00 - 09:50)                 2308 (Thu 08:00 - 09:50)","Wed 05-04-2017 10:00 - 11:50 [1504 - Lecture Room]"
"SCI","ICSC303 Statistics 4(4-0-8)","01","master","Nat KULVANICH","25","25","25","0","1303 (Mon 10:00 - 11:50)                 1303 (Wed 10:00 - 11:50)","Fri 07-04-2017 10:00 - 11:50 [Room-TBA]"
"FAA","ICFM380 Selected Topics in Film Production 4(0-8-4)","01","master","Aaron SCHMIDT","5","1","1","4","E3214 (Fri 08:00 - 12:00)                 E3214 (Fri 13:00 - 17:00)","[Room-TBA]"
"THM","ICTM472 Airline Business Management 4(4-0-8)","01","master","Kawin ASAWACHATROJ","40","9","20","20","1404 (Mon 14:00 - 15:50)                 1404 (Mon 16:00 - 17:50)","Mon 03-04-2017 16:00 - 17:50 [1304 - Lecture Room]"
"BBA","ICMF377 Money and Capital Markets 4(4-0-8)","01","master","Subin LIENGPUNSAKUL","40","35","39","1","1306 (Sat 08:00 - 09:50)                 1306 (Sat 10:00 - 11:50)","Sat 08-04-2017 10:00 - 11:50 [1306 - Lecture Room]"
"HLD","ICHL121 Chinese I for Hospitality and Tourism Industry 4(4-0-8)","01","joint","Hathaikarn MANGKORNPAIBOON","22","3","3","0","3421 (Tue 14:00 - 15:50)                 3421 (Thu 14:00 - 15:50)","Tue 04-04-2017 08:00 - 09:50 [1315 - Lecture Room]"
"THM","ICTM311 Sales and Marketing for Travel Industry 4(4-0-8)","01","master","Ka tat Nixon CHEN","40","7","16","24","1306 (Tue 10:00 - 11:50)                 1306 (Thu 10:00 - 11:50)","Tue 04-04-2017 09:00 - 11:50 [3304 - Lecture Room]"
"FAA","ICAP304 Sound for Animation 4(4-0-8)","01","master","Baptiste MAUERHAN","30","16","16","14","P320 (Tue 13:00 - 17:00)","[Room-TBA]"
